"","ano","nombre_comun","precio_promedio","precio_sd","n_obs","nino34_promedio","nino34_sd"
"86",2013,"Azul",9.29370629370629,2.69541124885481,143,27.57,0.505235468655833
"87",2013,"Cazon",10.9467455621302,2.88316202703936,169,27.57,0.505235468655833
"88",2013,"Gavilan",6.23684210526316,1.83706891286409,38,27.57,0.505235468655833
"89",2013,"Mako",10.11,2.3948387263556,100,27.57,0.505235468655833
"90",2013,"Mamon",12,NA,1,27.57,0.505235468655833
"91",2013,"Mayo",12,NA,1,27.57,0.505235468655833
"92",2013,"Pez guitarra",9.53036437246964,3.2569639381386,247,27.57,0.505235468655833
"93",2013,"Prieto",13.6052631578947,3.1923851430943,38,27.57,0.505235468655833
"94",2013,"Sardinero",22.3333333333333,14.1891977691952,3,27.57,0.505235468655833
"95",2013,"Sedoso",12.6341463414634,3.16824949744315,41,27.57,0.505235468655833
"96",2013,"Sulfin",10.475,3.54449736048167,40,27.57,0.505235468655833
"97",2013,"Tiburon",9.70779220779221,4.38494948909331,154,27.57,0.505235468655833
"98",2013,"Zorro",13.8571428571429,4.18671367883826,21,27.57,0.505235468655833
"99",2014,"Angelito",11.7113402061856,2.41936098177545,97,28.25,0.668641204687581
"100",2014,"Azul",10.2045454545455,3.23827359606436,88,28.25,0.668641204687581
"101",2014,"Cazon",11.3708609271523,2.88355311849747,151,28.25,0.668641204687581
"102",2014,"Gavilan",5.59259259259259,2.00497955599129,27,28.25,0.668641204687581
"103",2014,"Mako",9.82954545454546,2.76771863773763,88,28.25,0.668641204687581
"104",2014,"Mamon",NA,NA,NA,28.25,0.668641204687581
"105",2014,"Mayo",NA,NA,NA,28.25,0.668641204687581
"106",2014,"Pez guitarra",9.16666666666667,3.27431146011625,252,28.25,0.668641204687581
"107",2014,"Prieto",12.3235294117647,1.27256810820397,34,28.25,0.668641204687581
"108",2014,"Sardinero",8,NA,1,28.25,0.668641204687581
"109",2014,"Sedoso",12.8913043478261,1.96896206012277,46,28.25,0.668641204687581
"110",2014,"Sulfin",10.0588235294118,2.43594407353941,17,28.25,0.668641204687581
"111",2014,"Tiburon",8,4.94413232473044,19,28.25,0.668641204687581
"112",2014,"Zorro",12.3571428571429,1.06159508617181,28,28.25,0.668641204687581
"113",2015,"Angelito",13.7881355932203,5.84098647404737,118,29.42,0.785683932904474
"114",2015,"Azul",10.5686274509804,2.40212324380565,51,29.42,0.785683932904474
"115",2015,"Cazon",12.6275510204082,5.17083102208166,196,29.42,0.785683932904474
"116",2015,"Gavilan",5.7,1.30578893614654,60,29.42,0.785683932904474
"117",2015,"Mako",10.6306306306306,3.51083498985104,111,29.42,0.785683932904474
"118",2015,"Mamon",6,0,2,29.42,0.785683932904474
"119",2015,"Mayo",NA,NA,NA,29.42,0.785683932904474
"120",2015,"Pez guitarra",8.84226190476191,3.28299093745022,336,29.42,0.785683932904474
"121",2015,"Prieto",13.6756756756757,3.94443387047604,37,29.42,0.785683932904474
"122",2015,"Sardinero",8.38888888888889,4.32691832858239,18,29.42,0.785683932904474
"123",2015,"Sedoso",14.8032786885246,4.30046382045452,61,29.42,0.785683932904474
"124",2015,"Sulfin",10.3571428571429,2.92136809293035,28,29.42,0.785683932904474
"125",2015,"Tiburon",15.6875,5.0029158164681,16,29.42,0.785683932904474
"126",2015,"Zorro",14.047619047619,3.85389861856951,63,29.42,0.785683932904474
"127",2016,"Angelito",13.8409090909091,3.68226145162052,220,29.11,1.32448274637858
"128",2016,"Azul",12.9565217391304,3.4315951699797,46,29.11,1.32448274637858
"129",2016,"Cazon",13.7810218978102,4.76631779203205,411,29.11,1.32448274637858
"130",2016,"Gavilan",8.1340206185567,1.61134562025153,97,29.11,1.32448274637858
"131",2016,"Mako",12.9392523364486,4.20273233299338,214,29.11,1.32448274637858
"132",2016,"Mamon",9,NA,1,29.11,1.32448274637858
"133",2016,"Mayo",NA,NA,NA,29.11,1.32448274637858
"134",2016,"Pez guitarra",10.9022004889976,4.12253729800364,409,29.11,1.32448274637858
"135",2016,"Prieto",17.1219512195122,1.4865248392008,41,29.11,1.32448274637858
"136",2016,"Sardinero",10.156862745098,5.19758616674936,51,29.11,1.32448274637858
"137",2016,"Sedoso",17.9390243902439,4.92498683579267,82,29.11,1.32448274637858
"138",2016,"Sulfin",13.016393442623,5.15587626978088,61,29.11,1.32448274637858
"139",2016,"Tiburon",18.8953488372093,6.27230902181296,86,29.11,1.32448274637858
"140",2016,"Zorro",15.0109589041096,4.19164385824926,73,29.11,1.32448274637858
"141",2017,"Angelito",15.5173913043478,3.46849328270561,161,28.3,0.943049534352477
"142",2017,"Azul",14.4186046511628,1.91774369084802,43,28.3,0.943049534352477
"143",2017,"Cazon",15.2993883792049,3.90305051283661,327,28.3,0.943049534352477
"144",2017,"Gavilan",9.94252873563218,3.68010465548569,87,28.3,0.943049534352477
"145",2017,"Mako",15.1081081081081,2.80373566174375,111,28.3,0.943049534352477
"146",2017,"Mamon",NA,NA,NA,28.3,0.943049534352477
"147",2017,"Mayo",NA,NA,NA,28.3,0.943049534352477
"148",2017,"Pez guitarra",11.3559880239521,3.80780099536157,334,28.3,0.943049534352477
"149",2017,"Prieto",17.6818181818182,0.958989954908404,44,28.3,0.943049534352477
"150",2017,"Sardinero",14.6746987951807,2.96774708727393,83,28.3,0.943049534352477
"151",2017,"Sedoso",17.9166666666667,1.59565011540129,48,28.3,0.943049534352477
"152",2017,"Sulfin",15.4716981132075,2.70756613375375,53,28.3,0.943049534352477
"153",2017,"Tiburon",17.7173913043478,5.14528065740619,46,28.3,0.943049534352477
"154",2017,"Zorro",14.2972972972973,3.72577258852193,37,28.3,0.943049534352477
"155",2018,"Angelito",16.9869281045752,3.66302098522764,153,27.77,0.720477535241647
"156",2018,"Azul",16.3,4.41990873439022,60,27.77,0.720477535241647
"157",2018,"Cazon",18.088,4.14137973228205,300,27.77,0.720477535241647
"158",2018,"Gavilan",13.6153846153846,4.46410182771463,91,27.77,0.720477535241647
"159",2018,"Mako",18.6875,3.61685556030983,112,27.77,0.720477535241647
"160",2018,"Mamon",30,NA,1,27.77,0.720477535241647
"161",2018,"Mayo",NA,NA,NA,27.77,0.720477535241647
"162",2018,"Pez guitarra",14.8172307692308,3.17411575501128,325,27.77,0.720477535241647
"163",2018,"Prieto",16.84375,1.62856309117439,32,27.77,0.720477535241647
"164",2018,"Sardinero",20.9259259259259,2.9258241983572,54,27.77,0.720477535241647
"165",2018,"Sedoso",17.9459459459459,0.574743708386904,37,27.77,0.720477535241647
"166",2018,"Sulfin",19.5192307692308,4.45672166778819,52,27.77,0.720477535241647
"167",2018,"Tiburon",18.6410256410256,5.04447159345952,39,27.77,0.720477535241647
"168",2018,"Zorro",17.9090909090909,2.11917651244749,11,27.77,0.720477535241647
